State,District,Aadhaar generated,Enrolment Rejected
Andhra Pradesh,Ananthapuramu,437,100
Andhra Pradesh,Chittoor,563,48
Andhra Pradesh,Cuddapah,302,17
Andhra Pradesh,East Godavari,410,50
Andhra Pradesh,Guntur,257,23
Andhra Pradesh,Krishna,233,27
Andhra Pradesh,Kurnool,373,39
Andhra Pradesh,Nellore,203,19
Andhra Pradesh,Prakasam,362,38
Andhra Pradesh,Srikakulam,256,18
Andhra Pradesh,Visakhapatnam,383,36
Andhra Pradesh,Vizianagaram,208,10
Andhra Pradesh,West Godavari,669,51
Arunachal Pradesh,Changlang,4,0
Arunachal Pradesh,Dibang Valley,2,0
Arunachal Pradesh,East Kameng,2,0
Arunachal Pradesh,East Siang,13,4
Arunachal Pradesh,Kurung Kumey,1,2
Arunachal Pradesh,Lohit,0,1
Arunachal Pradesh,Longding,0,3
Arunachal Pradesh,Lower Subansiri,2,1
Arunachal Pradesh,Namsai,1,0
Arunachal Pradesh,Papum Pare,7,2
Arunachal Pradesh,Siang,39,3
Arunachal Pradesh,Upper Siang,3,1
Arunachal Pradesh,West Kameng,1,0
Arunachal Pradesh,West Siang,10,3
Assam,Baksa,10,1
Assam,Barpeta,27,1
Assam,Bongaigaon,5,0
Assam,Cachar,35,3
Assam,Chirang,6,0
Assam,Darrang,3,2
Assam,Dhemaji,48,2
Assam,Dhubri,40,1
Assam,Dibrugarh,7,0
Assam,Goalpara,10,0
Assam,Golaghat,110,1
Assam,Hailakandi,33,0
Assam,Hojai,36,5
Assam,Jorhat,10,1
Assam,Kamrup,13,0
Assam,Kamrup Metro,15,1
Assam,Karbi Anglong,35,2
Assam,Karimganj,25,3
Assam,Kokrajhar,12,0
Assam,Lakhimpur,107,3
Assam,Marigaon,83,2
Assam,Nagaon,4950,104
Assam,North Cachar Hills,1,0
Assam,Sibsagar,11,0
Assam,Sonitpur,158,1
Assam,Tinsukia,4,0
Assam,Udalguri,24,0
Bihar,Araria,1715,428
Bihar,Arwal,179,33
Bihar,Aurangabad,1625,331
Bihar,Banka,2216,300
Bihar,Begusarai,1332,408
Bihar,Bhagalpur,1109,237
Bihar,Bhojpur,1107,302
Bihar,Buxar,787,200
Bihar,Darbhanga,2886,668
Bihar,East Champaran,4221,449
Bihar,Gaya,2378,240
Bihar,Gopalganj,1358,216
Bihar,Jamui,1450,195
Bihar,Jehanabad,576,108
Bihar,Kaimur (Bhabua),1243,245
Bihar,Katihar,1146,386
Bihar,Khagaria,752,108
Bihar,Kishanganj,624,152
Bihar,Lakhisarai,598,126
Bihar,Madhepura,1538,329
Bihar,Madhubani,3304,522
Bihar,Munger,384,69
Bihar,Muzaffarpur,2015,317
Bihar,Nalanda,1589,342
Bihar,Nawada,1438,254
Bihar,Patna,1764,553
Bihar,Purnia,1391,362
Bihar,Rohtas,1243,247
Bihar,Saharsa,703,201
Bihar,Samastipur,2578,443
Bihar,Saran,1714,272
Bihar,Sheikhpura,185,108
Bihar,Sheohar,171,31
Bihar,Sitamarhi,1962,278
Bihar,Siwan,1357,149
Bihar,Supaul,881,266
Bihar,Vaishali,1365,418
Bihar,West Champaran,3248,520
Chandigarh,Chandigarh,143,12
Chhattisgarh,Balod,45,5
Chhattisgarh,Baloda Bazar,67,19
Chhattisgarh,Balrampur,30,10
Chhattisgarh,Bastar,86,39
Chhattisgarh,Bemetara,65,12
Chhattisgarh,Bijapur,8,25
Chhattisgarh,Bilaspur,139,31
Chhattisgarh,Dakshin Bastar Dantewada,19,14
Chhattisgarh,Dantewada,11,7
Chhattisgarh,Dhamtari,17,9
Chhattisgarh,Durg,173,44
Chhattisgarh,Gariyaband,47,8
Chhattisgarh,Janjgir-champa,164,47
Chhattisgarh,Jashpur,45,15
Chhattisgarh,Kabeerdham,7,6
Chhattisgarh,Kanker,43,26
Chhattisgarh,Kawardha,31,24
Chhattisgarh,Kondagaon,38,31
Chhattisgarh,Korba,87,44
Chhattisgarh,Koriya,29,21
Chhattisgarh,Mahasamund,102,28
Chhattisgarh,Mungeli,60,26
Chhattisgarh,Narayanpur,7,18
Chhattisgarh,Raigarh,96,42
Chhattisgarh,Raipur,232,53
Chhattisgarh,Rajnandgaon,73,19
Chhattisgarh,Sukma,48,16
Chhattisgarh,Surajpur,76,25
Chhattisgarh,Surguja,132,36
Chhattisgarh,Uttar Bastar Kanker,11,8
Dadra and Nagar Haveli,Dadra and Nagar Haveli,197,9
Daman and Diu,Daman,29,14
Daman and Diu,Diu,6,1
Delhi,Central Delhi,54,11
Delhi,East Delhi,154,52
Delhi,New Delhi,14,3
Delhi,North Delhi,48,20
Delhi,North East Delhi,213,87
Delhi,North West Delhi,352,106
Delhi,South Delhi,235,56
Delhi,South West Delhi,211,37
Delhi,West Delhi,240,66
Goa,North Goa,72,9
Goa,South Goa,38,4
Gujarat,Ahmedabad,4312,874
Gujarat,Amreli,1024,153
Gujarat,Anand,240,223
Gujarat,Arvalli,713,200
Gujarat,Banaskantha,2168,331
Gujarat,Bharuch,978,452
Gujarat,Bhavnagar,1475,503
Gujarat,Botad,240,134
Gujarat,Chhotaudepur,257,157
Gujarat,Dahod,2661,440
Gujarat,Devbhumi Dwarka,337,87
Gujarat,Gandhinagar,634,142
Gujarat,Gir Somnath,292,318
Gujarat,Jamnagar,31,84
Gujarat,Junagadh,573,178
Gujarat,Kachchh,1649,242
Gujarat,Kheda,774,263
Gujarat,Mahesana,823,279
Gujarat,Mahisagar,923,221
Gujarat,Morbi,186,48
Gujarat,Narmada,192,71
Gujarat,Navsari,485,42
Gujarat,Panchmahals,644,165
Gujarat,Patan,718,142
Gujarat,Porbandar,52,36
Gujarat,Rajkot,301,231
Gujarat,Sabarkantha,849,254
Gujarat,Surat,4394,804
Gujarat,Surendra Nagar,214,129
Gujarat,Tapi,206,81
Gujarat,The Dangs,177,13
Gujarat,Vadodara,1338,372
Gujarat,Valsad,1090,130
Haryana,Ambala,47,26
Haryana,Bhiwani,107,30
Haryana,Faridabad,161,48
Haryana,Fatehabad,21,9
Haryana,Gurgaon,133,38
Haryana,Hisar,115,26
Haryana,Jhajjar,44,16
Haryana,Jind,66,29
Haryana,Kaithal,45,12
Haryana,Karnal,197,27
Haryana,Kurukshetra,50,7
Haryana,Mahendragarh,61,13
Haryana,Mewat,158,52
Haryana,Palwal,77,32
Haryana,Panchkula,41,14
Haryana,Panipat,168,35
Haryana,Rewari,52,15
Haryana,Rohtak,79,24
Haryana,Sirsa,103,32
Haryana,Sonipat,83,27
Haryana,Yamuna Nagar,105,22
Himachal Pradesh,Bilaspur,12,1
Himachal Pradesh,Chamba,30,8
Himachal Pradesh,Hamirpur,14,5
Himachal Pradesh,Kangra,174,21
Himachal Pradesh,Kinnaur,9,1
Himachal Pradesh,Kullu,7,5
Himachal Pradesh,Lahul and Spiti,0,2
Himachal Pradesh,Mandi,112,9
Himachal Pradesh,Shimla,42,9
Himachal Pradesh,Sirmaur,19,8
Himachal Pradesh,Solan,17,7
Himachal Pradesh,Una,20,1
Jammu and Kashmir,Anantnag,1,0
Jammu and Kashmir,Baramula,1,0
Jammu and Kashmir,Budgam,4,1
Jammu and Kashmir,Doda,70,42
Jammu and Kashmir,Jammu,713,77
Jammu and Kashmir,Kargil,3,0
Jammu and Kashmir,Kathua,110,64
Jammu and Kashmir,Kishtwar,47,27
Jammu and Kashmir,Punch,46,12
Jammu and Kashmir,Rajouri,57,80
Jammu and Kashmir,Ramban,2,0
Jammu and Kashmir,Reasi,45,61
Jammu and Kashmir,Samba,64,5
